Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,# Responses,Average Score,Out Of ,Standard Deviation ,Discrimination Index ,Point Biserial
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,greatest output of goods and services through the best use of resources,factors of production,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,greatest output of goods and services through the best use of resources,production possibilities frontier,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,greatest output of goods and services through the best use of resources,production possibilities graph,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,greatest output of goods and services through the best use of resources,trade-offs,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,greatest output of goods and services through the best use of resources,shortage,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,greatest output of goods and services through the best use of resources,scarcity,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,greatest output of goods and services through the best use of resources,growth,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,greatest output of goods and services through the best use of resources,opportunity cost,1,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,greatest output of goods and services through the best use of resources,underutilization,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,greatest output of goods and services through the best use of resources,efficiency,8,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,greatest output of goods and services through the best use of resources,services,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,"land, labor, and capital",factors of production,9,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,"land, labor, and capital",production possibilities frontier,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,"land, labor, and capital",production possibilities graph,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,"land, labor, and capital",trade-offs,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,"land, labor, and capital",shortage,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,"land, labor, and capital",scarcity,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,"land, labor, and capital",growth,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,"land, labor, and capital",opportunity cost,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,"land, labor, and capital",underutilization,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,"land, labor, and capital",efficiency,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,"land, labor, and capital",services,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,temporary lack of one or more goods,factors of production,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,temporary lack of one or more goods,production possibilities frontier,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,temporary lack of one or more goods,production possibilities graph,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,temporary lack of one or more goods,trade-offs,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,temporary lack of one or more goods,shortage,8,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,temporary lack of one or more goods,scarcity,1,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,temporary lack of one or more goods,growth,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,temporary lack of one or more goods,opportunity cost,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,temporary lack of one or more goods,underutilization,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,temporary lack of one or more goods,efficiency,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,temporary lack of one or more goods,services,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the most attractive alternative that is given up when an economic decision is reached,factors of production,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the most attractive alternative that is given up when an economic decision is reached,production possibilities frontier,0,6.44,8,20.51 %,30.00 %,n/a
